alpha,cl,cd
0,0,0.0079
1,0.11,0.008
2,0.22,0.0084
3,0.33,0.0089
4,0.44,0.0098
5,0.55,0.0113
6,0.66,0.0125
7,0.77,0.0135
8,0.8542,0.0153
9,0.9352,0.0164
10,0.9811,0.0184
11,0.9132,0.0204
12,0.4832,0.0217
13,0.2759,0.0222
14,0.2893,0.106
15,0.3306,0.19
16,0.3792,0.21
17,0.4455,0.231
18,0.5047,0.252
19,0.5591,0.274
20,0.612,0.297
21,0.6643,0.32
22,0.7179,0.344
23,0.7715,0.369
24,0.8246,0.394
25,0.878,0.42
26,0.9313,0.446
27,0.9846,0.473
30,1.015,0.57
35,1.02,0.745
40,1.075,0.92
45,1.085,1.705
50,1.04,1.215
55,0.965,1.345
60,0.875,1.47
65,0.765,1.575
70,0.65,1.665
75,0.515,1.735
80,0.37,1.78
85,0.22,1.8
90,0.07,1.8
95,-0.07,1.78
100,-0.22,1.75
105,-0.37,1.7
110,-0.51,1.635
115,-0.625,1.55
120,-0.735,1.465
125,-0.84,1.35
130,-0.91,1.225
135,-0.945,1.805
140,-0.945,0.925
145,-0.91,0.755
150,-0.85,0.575
155,-0.74,0.42
160,-0.66,0.32
165,-0.675,0.23
170,-0.85,0.14
175,-0.69,0.055
180,0,0.025
185,0.69,0.025
190,0.85,0.055
195,0.675,0.14
200,0.66,0.23
205,0.74,0.32
210,0.85,0.42
215,0.91,0.575
220,0.945,0.755
225,0.945,0.925
230,0.91,1.805
235,0.84,1.225
240,0.735,1.35
245,0.625,1.465
250,0.51,1.55
255,0.37,1.635
260,0.22,1.7
265,0.07,1.75
270,-0.07,1.78
275,-0.22,1.8
280,-0.37,1.8
285,-0.515,1.78
290,-0.65,1.735
295,-0.765,1.665
300,-0.875,1.575
305,-0.965,1.47
310,-1.04,1.345
315,-1.085,1.215
320,-1.075,1.705
325,-1.02,0.92
330,-1.015,0.745
333,-0.9846,0.57
334,-0.9313,0.473
335,-0.878,0.446
336,-0.8246,0.42
337,-0.7715,0.394
338,-0.7179,0.369
339,-0.6643,0.344
340,-0.612,0.32
341,-0.5591,0.297
342,-0.5047,0.274
343,-0.4455,0.252
344,-0.3792,0.231
345,-0.3306,0.21
346,-0.2893,0.19
347,-0.2759,0.106
348,-0.4832,0.0222
349,-0.9132,0.0217
350,-0.9811,0.0204
351,-0.9352,0.0184
352,-0.8542,0.0164
353,-0.77,0.0153
354,-0.66,0.0135
355,-0.55,0.0125
356,-0.44,0.0113
357,-0.33,0.0098
358,-0.22,0.0089
359,-0.11,0.0084
360,0,0.008
